GeneID	Symbol	dbXrefs
78	ACTG1P6	HGNC:HGNC:151
79	ACTG1P7	HGNC:HGNC:152
80	ACTG1P8	HGNC:HGNC:153
81	ACTN4	MIM:604638|HGNC:HGNC:166|Ensembl:ENSG00000130402|Vega:OTTHUMG00000137382
82	ACTG1P9	HGNC:HGNC:154
83	ACTG1P10	HGNC:HGNC:155
86	ACTL6A	MIM:604958|HGNC:HGNC:24124|Ensembl:ENSG00000136518|Vega:OTTHUMG00000157782
87	ACTN1	MIM:102575|HGNC:HGNC:163|Ensembl:ENSG00000072110|Vega:OTTHUMG00000171386
88	ACTN2	MIM:102573|HGNC:HGNC:164|Ensembl:ENSG00000077522|Vega:OTTHUMG00000040059
89	ACTN3	MIM:102574|HGNC:HGNC:165|Ensembl:ENSG00000248746|Vega:OTTHUMG00000160815
90	ACVR1	MIM:102576|HGNC:HGNC:171|Ensembl:ENSG00000115170|Vega:OTTHUMG00000131967
91	ACVR1B	MIM:601300|HGNC:HGNC:172|Ensembl:ENSG00000135503|Vega:OTTHUMG00000167920
92	ACVR2A	MIM:102581|HGNC:HGNC:173|Ensembl:ENSG00000121989|Vega:OTTHUMG00000150603
93	ACVR2B	MIM:602730|HGNC:HGNC:174|Ensembl:ENSG00000114739|Vega:OTTHUMG00000131291
94	ACVRL1	MIM:601284|HGNC:HGNC:175|Ensembl:ENSG00000139567|Vega:OTTHUMG00000169507
95	ACY1	MIM:104620|HGNC:HGNC:177|Ensembl:ENSG00000243989|Vega:OTTHUMG00000157815
97	ACYP1	MIM:600875|HGNC:HGNC:179|Ensembl:ENSG00000119640|Vega:OTTHUMG00000171767
98	ACYP2	MIM:102595|HGNC:HGNC:180|Ensembl:ENSG00000170634|Vega:OTTHUMG00000129287
100	ADA	MIM:608958|HGNC:HGNC:186|Ensembl:ENSG00000196839|Vega:OTTHUMG00000033081
101	ADAM8	MIM:602267|HGNC:HGNC:215|Ensembl:ENSG00000151651|Vega:OTTHUMG00000019309
102	ADAM10	MIM:602192|HGNC:HGNC:188|Ensembl:ENSG00000137845|Vega:OTTHUMG00000132633
103	ADAR	MIM:146920|HGNC:HGNC:225|Ensembl:ENSG00000160710|Vega:OTTHUMG00000037261
104	ADARB1	MIM:601218|HGNC:HGNC:226|Ensembl:ENSG00000197381|Vega:OTTHUMG00000090295
105	ADARB2	MIM:602065|HGNC:HGNC:227|Ensembl:ENSG00000185736|Vega:OTTHUMG00000017543
106	ADCP1	HGNC:HGNC:229
107	ADCY1	MIM:103072|HGNC:HGNC:232|Ensembl:ENSG00000164742|Vega:OTTHUMG00000155420
108	ADCY2	MIM:103071|HGNC:HGNC:233|Ensembl:ENSG00000078295|Vega:OTTHUMG00000090476
109	ADCY3	MIM:600291|HGNC:HGNC:234|Ensembl:ENSG00000138031|Vega:OTTHUMG00000094765
111	ADCY5	MIM:600293|HGNC:HGNC:236|Ensembl:ENSG00000173175|Vega:OTTHUMG00000159517
112	ADCY6	MIM:600294|HGNC:HGNC:237|Ensembl:ENSG00000174233|Vega:OTTHUMG00000170396
113	ADCY7	MIM:600385|HGNC:HGNC:238|Ensembl:ENSG00000121281|Vega:OTTHUMG00000133172
114	ADCY8	MIM:103070|HGNC:HGNC:239|Ensembl:ENSG00000155897|Vega:OTTHUMG00000164756
115	ADCY9	MIM:603302|HGNC:HGNC:240|Ensembl:ENSG00000162104|Vega:OTTHUMG00000177612
116	ADCYAP1	MIM:102980|HGNC:HGNC:241|Ensembl:ENSG00000141433|Vega:OTTHUMG00000131479
117	ADCYAP1R1	MIM:102981|HGNC:HGNC:242|Ensembl:ENSG00000078549|Vega:OTTHUMG00000023884
118	ADD1	MIM:102680|HGNC:HGNC:243|Ensembl:ENSG00000087274|Vega:OTTHUMG00000122080
119	ADD2	MIM:102681|HGNC:HGNC:244|Ensembl:ENSG00000075340|Vega:OTTHUMG00000129710
120	ADD3	MIM:601568|HGNC:HGNC:245|Ensembl:ENSG00000148700|Vega:OTTHUMG00000019032
122	ADFN	MIM:300700|HGNC:HGNC:247
123	PLIN2	MIM:103195|HGNC:HGNC:248|Ensembl:ENSG00000147872|Vega:OTTHUMG00000019624
124	ADH1A	MIM:103700|HGNC:HGNC:249|Ensembl:ENSG00000187758|Vega:OTTHUMG00000131026
125	ADH1B	MIM:103720|HGNC:HGNC:250|Ensembl:ENSG00000196616|Vega:OTTHUMG00000161413
126	ADH1C	MIM:103730|HGNC:HGNC:251|Ensembl:ENSG00000248144|Vega:OTTHUMG00000161422
127	ADH4	MIM:103740|HGNC:HGNC:252|Ensembl:ENSG00000198099|Vega:OTTHUMG00000161227
128	ADH5	MIM:103710|HGNC:HGNC:253|Ensembl:ENSG00000197894|Vega:OTTHUMG00000161230
130	ADH6	MIM:103735|HGNC:HGNC:255|Ensembl:ENSG00000172955|Vega:OTTHUMG00000131024
131	ADH7	MIM:600086|HGNC:HGNC:256|Ensembl:ENSG00000196344|Vega:OTTHUMG00000159318
132	ADK	MIM:102750|HGNC:HGNC:257|Ensembl:ENSG00000156110|Vega:OTTHUMG00000018506
133	ADM	MIM:103275|HGNC:HGNC:259|Ensembl:ENSG00000148926|Vega:OTTHUMG00000165907
134	ADORA1	MIM:102775|HGNC:HGNC:262|Ensembl:ENSG00000163485|Vega:OTTHUMG00000042125
135	ADORA2A	MIM:102776|HGNC:HGNC:263|Ensembl:ENSG00000128271|Vega:OTTHUMG00000150761
136	ADORA2B	MIM:600446|HGNC:HGNC:264|Ensembl:ENSG00000170425|Vega:OTTHUMG00000059140
137	ADORA2BP1	HGNC:HGNC:265
140	ADORA3	MIM:600445|HGNC:HGNC:268|Ensembl:ENSG00000282608|Vega:OTTHUMG00000011957
141	ADPRH	MIM:603081|HGNC:HGNC:269|Ensembl:ENSG00000144843|Vega:OTTHUMG00000159420
142	PARP1	MIM:173870|HGNC:HGNC:270|Ensembl:ENSG00000143799|Vega:OTTHUMG00000037556
143	PARP4	MIM:607519|HGNC:HGNC:271|Ensembl:ENSG00000102699|Vega:OTTHUMG00000016582
144	PARP1P1	HGNC:HGNC:275
145	PARP1P2	HGNC:HGNC:276
146	ADRA1D	MIM:104219|HGNC:HGNC:280|Ensembl:ENSG00000171873|Vega:OTTHUMG00000031779
147	ADRA1B	MIM:104220|HGNC:HGNC:278|Ensembl:ENSG00000170214|Vega:OTTHUMG00000130327
148	ADRA1A	MIM:104221|HGNC:HGNC:277|Ensembl:ENSG00000120907|Vega:OTTHUMG00000099459
150	ADRA2A	MIM:104210|HGNC:HGNC:281|Ensembl:ENSG00000150594|Vega:OTTHUMG00000019050
151	ADRA2B	MIM:104260|HGNC:HGNC:282|Ensembl:ENSG00000274286|Vega:OTTHUMG00000188276
152	ADRA2C	MIM:104250|HGNC:HGNC:283|Ensembl:ENSG00000184160|Vega:OTTHUMG00000159830
153	ADRB1	MIM:109630|HGNC:HGNC:285|Ensembl:ENSG00000043591|Vega:OTTHUMG00000019079
154	ADRB2	MIM:109690|HGNC:HGNC:286|Ensembl:ENSG00000169252|Vega:OTTHUMG00000129933
155	ADRB3	MIM:109691|HGNC:HGNC:288|Ensembl:ENSG00000188778|Vega:OTTHUMG00000164028
156	GRK2	MIM:109635|HGNC:HGNC:289|Ensembl:ENSG00000173020|Vega:OTTHUMG00000167104
157	GRK3	MIM:109636|HGNC:HGNC:290|Ensembl:ENSG00000100077|Vega:OTTHUMG00000150280
