GeneID	Symbol	dbXrefs
11488	Adam11	MGI:MGI:1098667|Ensembl:ENSMUSG00000020926|Vega:OTTMUSG00000002992
11489	Adam12	MGI:MGI:105378|Ensembl:ENSMUSG00000054555|Vega:OTTMUSG00000021264
11490	Adam15	MGI:MGI:1333882|Ensembl:ENSMUSG00000028041|Vega:OTTMUSG00000022081
11491	Adam17	MGI:MGI:1096335|Ensembl:ENSMUSG00000052593|Vega:OTTMUSG00000021042
11492	Adam19	MGI:MGI:105377|Ensembl:ENSMUSG00000011256|Vega:OTTMUSG00000005488
11495	Adam2	MGI:MGI:1340894|Ensembl:ENSMUSG00000022039
11496	Adam22	MGI:MGI:1340046|Ensembl:ENSMUSG00000040537|Vega:OTTMUSG00000016341
11497	Adam3	MGI:MGI:102518|Ensembl:ENSMUSG00000031553|Vega:OTTMUSG00000035967
11498	Adam4	MGI:MGI:104731|Ensembl:ENSMUSG00000072972|Vega:OTTMUSG00000035309
11499	Adam5	MGI:MGI:104730|Ensembl:ENSMUSG00000031554|Vega:OTTMUSG00000031764
11500	Adam7	MGI:MGI:107247|Ensembl:ENSMUSG00000022056|Vega:OTTMUSG00000025841
11501	Adam8	MGI:MGI:107825|Ensembl:ENSMUSG00000025473|Vega:OTTMUSG00000021266
11502	Adam9	MGI:MGI:105376|Ensembl:ENSMUSG00000031555|Vega:OTTMUSG00000060065
11504	Adamts1	MGI:MGI:109249|Ensembl:ENSMUSG00000022893|Vega:OTTMUSG00000019935
11512	Adcy6	MGI:MGI:87917|Ensembl:ENSMUSG00000022994
11513	Adcy7	MGI:MGI:102891|Ensembl:ENSMUSG00000031659|Vega:OTTMUSG00000061472
11514	Adcy8	MGI:MGI:1341110|Ensembl:ENSMUSG00000022376
11515	Adcy9	MGI:MGI:108450|Ensembl:ENSMUSG00000005580|Vega:OTTMUSG00000027177
11516	Adcyap1	MGI:MGI:105094|Ensembl:ENSMUSG00000024256
11517	Adcyap1r1	MGI:MGI:108449|Ensembl:ENSMUSG00000029778|Vega:OTTMUSG00000035961
11518	Add1	MGI:MGI:87918|Ensembl:ENSMUSG00000029106|Vega:OTTMUSG00000023097
11519	Add2	MGI:MGI:87919|Ensembl:ENSMUSG00000030000|Vega:OTTMUSG00000056411
11520	Plin2	MGI:MGI:87920|Ensembl:ENSMUSG00000028494|Vega:OTTMUSG00000007453
11522	Adh1	MGI:MGI:87921|Ensembl:ENSMUSG00000074207|Vega:OTTMUSG00000034747
11529	Adh7	MGI:MGI:87926|Ensembl:ENSMUSG00000055301|Vega:OTTMUSG00000052803
11532	Adh5	MGI:MGI:87929|Ensembl:ENSMUSG00000028138|Vega:OTTMUSG00000029527
11533	Adh5-ps1	MGI:MGI:106674
11534	Adk	MGI:MGI:87930|Ensembl:ENSMUSG00000039197
11535	Adm	MGI:MGI:108058|Ensembl:ENSMUSG00000030790|Vega:OTTMUSG00000046239
11536	Gpr182	MGI:MGI:109545|Ensembl:ENSMUSG00000058396|Vega:OTTMUSG00000027657
11537	Cfd	MGI:MGI:87931|Ensembl:ENSMUSG00000061780
11538	Adnp	MGI:MGI:1338758|Ensembl:ENSMUSG00000051149|Vega:OTTMUSG00000016054
11539	Adora1	MGI:MGI:99401|Ensembl:ENSMUSG00000042429|Vega:OTTMUSG00000049675
11540	Adora2a	MGI:MGI:99402|Ensembl:ENSMUSG00000020178
11541	Adora2b	MGI:MGI:99403|Ensembl:ENSMUSG00000018500|Vega:OTTMUSG00000005854
11542	Adora3	MGI:MGI:104847|Ensembl:ENSMUSG00000000562|Vega:OTTMUSG00000052379
11544	Adprh	MGI:MGI:1098234|Ensembl:ENSMUSG00000002844
11545	Parp1	MGI:MGI:1340806|Ensembl:ENSMUSG00000026496|Vega:OTTMUSG00000050450
11546	Parp2	MGI:MGI:1341112|Ensembl:ENSMUSG00000036023
11548	Adra1b	MGI:MGI:104774|Ensembl:ENSMUSG00000050541|Vega:OTTMUSG00000005462
11549	Adra1a	MGI:MGI:104773|Ensembl:ENSMUSG00000045875|Vega:OTTMUSG00000034681
11550	Adra1d	MGI:MGI:106673|Ensembl:ENSMUSG00000027335|Vega:OTTMUSG00000016190
11551	Adra2a	MGI:MGI:87934|Ensembl:ENSMUSG00000033717
11552	Adra2b	MGI:MGI:87935|Ensembl:ENSMUSG00000058620|Vega:OTTMUSG00000016023
11553	Adra2c	MGI:MGI:87936|Ensembl:ENSMUSG00000045318|Vega:OTTMUSG00000056027
11554	Adrb1	MGI:MGI:87937|Ensembl:ENSMUSG00000035283
11555	Adrb2	MGI:MGI:87938|Ensembl:ENSMUSG00000045730
11556	Adrb3	MGI:MGI:87939|Ensembl:ENSMUSG00000031489|Vega:OTTMUSG00000028657
11564	Adsl	MGI:MGI:103202|Ensembl:ENSMUSG00000022407|Vega:OTTMUSG00000035645
11565	Adssl1	MGI:MGI:87947|Ensembl:ENSMUSG00000011148
11566	Adss	MGI:MGI:87948|Ensembl:ENSMUSG00000015961|Vega:OTTMUSG00000034836
11567	Avil	MGI:MGI:1333798|Ensembl:ENSMUSG00000025432|Vega:OTTMUSG00000034112
11568	Aebp1	MGI:MGI:1197012|Ensembl:ENSMUSG00000020473|Vega:OTTMUSG00000005099
11569	Aebp2	MGI:MGI:1338038|Ensembl:ENSMUSG00000030232|Vega:OTTMUSG00000034195
11571	Crisp1	MGI:MGI:102553|Ensembl:ENSMUSG00000025431|Vega:OTTMUSG00000037980
11572	Crisp3	MGI:MGI:102552|Ensembl:ENSMUSG00000025433|Vega:OTTMUSG00000028254
11576	Afp	MGI:MGI:87951|Ensembl:ENSMUSG00000054932|Vega:OTTMUSG00000055486
11592	ag	MGI:MGI:87955
11593	Aga	MGI:MGI:104873|Ensembl:ENSMUSG00000031521|Vega:OTTMUSG00000060612
11595	Acan	MGI:MGI:99602|Ensembl:ENSMUSG00000030607|Vega:OTTMUSG00000058542
11596	Ager	MGI:MGI:893592|Ensembl:ENSMUSG00000015452|Vega:OTTMUSG00000037074
11600	Angpt1	MGI:MGI:108448|Ensembl:ENSMUSG00000022309
11601	Angpt2	MGI:MGI:1202890|Ensembl:ENSMUSG00000031465|Vega:OTTMUSG00000036075
11602	Angpt4	MGI:MGI:1336887|Ensembl:ENSMUSG00000027460|Vega:OTTMUSG00000015844
11603	Agrn	MGI:MGI:87961|Ensembl:ENSMUSG00000041936|Vega:OTTMUSG00000011080
11604	Agrp	MGI:MGI:892013|Ensembl:ENSMUSG00000005705|Vega:OTTMUSG00000050255
11605	Gla	MGI:MGI:1347344|Ensembl:ENSMUSG00000031266|Vega:OTTMUSG00000019384
11606	Agt	MGI:MGI:87963|Ensembl:ENSMUSG00000031980|Vega:OTTMUSG00000061562
11607	Agtr1a	MGI:MGI:87964|Ensembl:ENSMUSG00000049115|Vega:OTTMUSG00000000668
11608	Agtr1b	MGI:MGI:87965|Ensembl:ENSMUSG00000054988|Vega:OTTMUSG00000034694
11609	Agtr2	MGI:MGI:87966|Ensembl:ENSMUSG00000068122|Vega:OTTMUSG00000017210
11610	Agtrap	MGI:MGI:1339977|Ensembl:ENSMUSG00000029007|Vega:OTTMUSG00000010935
11611	Agxt	MGI:MGI:1329033|Ensembl:ENSMUSG00000026272|Vega:OTTMUSG00000048639
11614	Nr0b1	MGI:MGI:1352460|Ensembl:ENSMUSG00000025056|Vega:OTTMUSG00000017945
11615	Gm4737	MGI:MGI:3643647|Ensembl:ENSMUSG00000048087
11622	Ahr	MGI:MGI:105043|Ensembl:ENSMUSG00000019256|Vega:OTTMUSG00000036999
11624	Ahrr	MGI:MGI:1333776|Ensembl:ENSMUSG00000021575|Vega:OTTMUSG00000023058
11625	Ahsg	MGI:MGI:107189|Ensembl:ENSMUSG00000022868
11628	Aicda	MGI:MGI:1342279|Ensembl:ENSMUSG00000040627|Vega:OTTMUSG00000034572
11629	Aif1	MGI:MGI:1343098|Ensembl:ENSMUSG00000024397|Vega:OTTMUSG00000037184
11630	Crybg1	MGI:MGI:109544|Ensembl:ENSMUSG00000019866|Vega:OTTMUSG00000055246
11632	Aip	MGI:MGI:109622|Ensembl:ENSMUSG00000024847|Vega:OTTMUSG00000026281
11634	Aire	MGI:MGI:1338803|Ensembl:ENSMUSG00000000731|Vega:OTTMUSG00000034126
11636	Ak1	MGI:MGI:87977|Ensembl:ENSMUSG00000026817|Vega:OTTMUSG00000011984
11637	Ak2	MGI:MGI:87978|Ensembl:ENSMUSG00000028792|Vega:OTTMUSG00000009623
11639	Ak4	MGI:MGI:87979|Ensembl:ENSMUSG00000028527|Vega:OTTMUSG00000008456
11640	Akap1	MGI:MGI:104729|Ensembl:ENSMUSG00000018428|Vega:OTTMUSG00000001272
11641	Akap2	MGI:MGI:1306795|Ensembl:ENSMUSG00000038729|Vega:OTTMUSG00000032475
11642	Akap3	MGI:MGI:1341149|Ensembl:ENSMUSG00000030344|Vega:OTTMUSG00000056337
11643	Akap4	MGI:MGI:102794|Ensembl:ENSMUSG00000050089|Vega:OTTMUSG00000016457
11647	Alpl	MGI:MGI:87983|Ensembl:ENSMUSG00000028766|Vega:OTTMUSG00000009805
11648	Akp3	MGI:MGI:87984|Ensembl:ENSMUSG00000036500|Vega:OTTMUSG00000048155
11650	Alppl2	MGI:MGI:108009|Ensembl:ENSMUSG00000026246|Vega:OTTMUSG00000048152
11651	Akt1	MGI:MGI:87986|Ensembl:ENSMUSG00000001729|Vega:OTTMUSG00000020941
11652	Akt2	MGI:MGI:104874|Ensembl:ENSMUSG00000004056|Vega:OTTMUSG00000016504
11655	Alas1	MGI:MGI:87989|Ensembl:ENSMUSG00000032786|Vega:OTTMUSG00000033383
11656	Alas2	MGI:MGI:87990|Ensembl:ENSMUSG00000025270|Vega:OTTMUSG00000019150
11657	Alb	MGI:MGI:87991|Ensembl:ENSMUSG00000029368|Vega:OTTMUSG00000055485
11658	Alcam	MGI:MGI:1313266|Ensembl:ENSMUSG00000022636|Vega:OTTMUSG00000036124
11666	Abcd1	MGI:MGI:1349215|Ensembl:ENSMUSG00000031378|Vega:OTTMUSG00000017700
11668	Aldh1a1	MGI:MGI:1353450|Ensembl:ENSMUSG00000053279|Vega:OTTMUSG00000021238
11669	Aldh2	MGI:MGI:99600|Ensembl:ENSMUSG00000029455|Vega:OTTMUSG00000023440
11670	Aldh3a1	MGI:MGI:1353451|Ensembl:ENSMUSG00000019102|Vega:OTTMUSG00000005823
